municipio,br,km,tipo_acidente,causa_acidente,tracado_via,tipo_pista,fase_dia,condicao_metereologica,veiculos,pessoas,ilesos,feridos,feridos_graves,feridos_leves,mortos,ignorados
Petropolis,40,79,Colisão Com Objeto Móvel,Outras,Curva,Duplicada,Pleno Dia,Nublado,2,13,1,8,7,1,2,2
Petropolis,40,88,Saída De Pista,Outras,Reta,Simples,Pleno Dia,Sol,1,16,0,14,0,14,2,0
Petropolis,40,91,Colisão Com Objeto Fixo,Outras,Curva,Simples,Plena Noite,Ceu Claro,1,2,0,0,0,0,2,0
Petropolis,40,92,Tombamento,Velocidade Incompatível,Curva,Duplicada,Pleno Dia,Céu Claro,1,2,0,0,0,0,2,0
Petropolis,40,96,Tombamento,Outras,Curva,Simples,Anoitecer,Ceu Claro,2,2,0,0,0,0,2,0
Petropolis,40,906,Tombamento,Velocidade Incompatível,Não Informado,Duplicada,Pleno Dia,Céu Claro,1,4,0,1,1,0,2,1
Pianco,361,84.7,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Ceu Claro,2,4,0,2,1,1,2,0
Pianco,361,87.8,Colisão Traseira,Ingestão De Álcool,Reta,Simples,Plena Noite,Ceu Claro,2,3,1,0,0,0,2,0
Pianco,361,89.3,Atropelamento De Animal,Animais Na Pista,Reta,Simples,Plena Noite,Ceu Claro,1,2,0,0,0,0,2,0
Pianco,361,92.2,Colisão Frontal,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,3,0,1,0,1,2,0
Picada Cafe,116,194.1,Colisão Frontal,Desobediência À Sinalização,Curva,Simples,Plena Noite,Nublado,2,3,0,1,0,1,2,0
Picada Cafe,116,200.6,Colisão Frontal,Velocidade Incompatível,Curva,Simples,Pleno Dia,Sol,3,3,1,0,0,0,2,0
Picada Cafe,116,201.4,Colisão Com Objeto Fixo,Outras,Reta,Simples,Pleno Dia,Ceu Claro,1,2,0,0,0,0,2,0
Picarras,101,99.5,Colisão Lateral,Outras,Reta,Duplicada,Plena Noite,Ceu Claro,2,3,0,0,0,0,2,1
Picos,316,294.6,Capotamento,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,3,0,1,1,0,2,0
Picos,316,295.3,Colisão Transversal,Ultrapassagem Indevida,Curva,Simples,Plena Noite,Chuva,2,3,0,0,0,0,2,1
Picos,316,296.1,Capotamento,Falta De Atenção,Curva,Simples,Pleno Dia,Sol,1,2,0,0,0,0,2,0
Picos,316,296.1,Saída De Pista,Outras,Curva,Simples,Pleno Dia,Ceu Claro,1,2,0,0,0,0,2,0
Picos,316,300.2,Colisão Traseira,Outras,Reta,Simples,Plena Noite,Ceu Claro,5,6,3,1,0,1,2,0
Picos,316,305.9,Colisão Traseira,Falta De Atenção,Reta,Simples,Amanhecer,Sol,2,3,1,0,0,0,2,0
Picos,316,307,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Plena Noite,Céu Claro,2,3,0,1,1,0,2,0
Picos,316,310.2,Colisão Transversal,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,4,0,2,2,0,2,0
Picos,316,326,Colisão Transversal,Falta De Atenção,Reta,Simples,Plena Noite,Nublado,2,3,1,0,0,0,2,0
Picos,316,329.7,Colisão Frontal,Falta De Atenção,Reta,Simples,Pleno Dia,Ignorada,2,3,0,1,0,1,2,0
Picos,316,3149,Colisão Frontal,Ingestão De Álcool,Reta,Duplicada,Plena Noite,Garoa/Chuvisco,2,4,0,2,1,1,2,0
Picos,316,4085,Tombamento,Falta De Atenção À Condução,Não Informado,Simples,Amanhecer,Céu Claro,1,3,0,1,1,0,2,0
Picos,407,367.3,Colisão Lateral,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,3,0,1,0,1,2,0
Picos,407,377.6,Colisão Transversal,Falta De Atenção,Reta,Simples,Pleno Dia,Sol,2,3,1,0,0,0,2,0
Pilar,101,107,Colisão Transversal,Velocidade Incompatível,Curva,Simples,Pleno Dia,Ceu Claro,2,3,1,0,0,0,2,0
Pilar,101,108.3,Colisão Frontal,Outras,Curva,Simples,Plena Noite,Chuva,2,2,0,0,0,0,2,0
Pilar,101,114.4,Colisão Lateral,Velocidade Incompatível,Curva,Simples,Plena Noite,Chuva,2,7,4,1,1,0,2,0
