municipio,br,km,tipo_acidente,causa_acidente,tracado_via,tipo_pista,fase_dia,condicao_metereologica,veiculos,pessoas,ilesos,feridos,feridos_graves,feridos_leves,mortos,ignorados
Brunopolis,470,283.7,Tombamento,Velocidade Incompatível,Curva,Simples,Pleno Dia,Ceu Claro,1,3,0,2,0,2,1,0
Brunopolis,470,283.8,Capotamento,Velocidade Incompatível,Curva,Simples,Plena Noite,Ceu Claro,1,2,1,0,0,0,1,0
Brunopolis,470,283.9,Colisão Com Objeto Fixo,Velocidade Incompatível,Curva,Simples,Plena Noite,Ceu Claro,1,1,0,0,0,0,1,0
Brunopolis,470,284,Saída De Pista,Velocidade Incompatível,Curva,Simples,Pleno Dia,Sol,1,4,0,3,2,1,1,0
Brunopolis,470,285.8,Colisão Frontal,Ultrapassagem Indevida,Curva,Simples,Pleno Dia,Ceu Claro,2,2,1,0,0,0,1,0
Brunopolis,470,286.2,Colisão Frontal,Outras,Curva,Simples,Amanhecer,Nublado,2,2,1,0,0,0,1,0
Brunopolis,470,2708,Colisão Frontal,Ultrapassagem Indevida,Curva,Simples,Pleno Dia,Céu Claro,2,2,1,0,0,0,1,0
Brunopolis,470,2778,Colisão Transversal,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,3,1,1,0,1,1,0
Buenopolis,135,504,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Ignorada,1,5,4,0,0,0,1,0
Buenopolis,135,504,Saída De Pista,Velocidade Incompatível,Reta,Simples,Pleno Dia,Nublado,1,3,0,2,0,2,1,0
Buenopolis,135,506,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Amanhecer,Nublado,2,6,0,5,2,3,1,0
Buenopolis,135,508,Colisão Frontal,Desobediência À Sinalização,Reta,Simples,Plena Noite,Ceu Claro,3,3,2,0,0,0,1,0
Buenopolis,135,510,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Chuva,1,2,0,0,0,0,1,1
Buenopolis,135,511,Atropelamento De Pessoa,Falta De Atenção,Reta,Simples,Amanhecer,Ceu Claro,1,2,0,0,0,0,1,1
Buenopolis,135,511,Atropelamento De Pessoa,Falta De Atenção,Reta,Simples,Pleno Dia,Sol,1,2,0,1,0,1,1,0
Buenopolis,135,511.3,Colisão Frontal,Falta De Atenção,Reta,Simples,Pleno Dia,Sol,2,2,1,0,0,0,1,0
Buenopolis,135,513.8,Colisão Com Bicicleta,Outras,Reta,Simples,Pleno Dia,Sol,2,2,1,0,0,0,1,0
Buenopolis,135,515,Colisão Transversal,Outras,Reta,Simples,Anoitecer,Ceu Claro,2,6,2,3,1,2,1,0
Buenopolis,135,515.1,Saída De Pista,Velocidade Incompatível,Curva,Simples,Pleno Dia,Ceu Claro,1,1,0,0,0,0,1,0
Buenopolis,135,516.8,Colisão Traseira,Falta De Atenção,Reta,Simples,Pleno Dia,Ceu Claro,2,3,1,1,0,1,1,0
Buenopolis,135,517.6,Colisão Frontal,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,6,0,5,1,4,1,0
Buenopolis,135,523.4,Atropelamento De Animal,Falta De Atenção,Reta,Simples,Pleno Dia,Ceu Claro,1,3,2,0,0,0,1,0
Buenopolis,135,524.8,Saída De Pista,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,1,0,0,0,0,1,0
Buenopolis,135,5189,Colisão Frontal,Mal Súbito,Reta,Simples,Pleno Dia,Céu Claro,2,3,1,1,0,1,1,0
Buenos Aires,408,46.5,Colisão Frontal,Outras,Curva,Simples,Pleno Dia,Chuva,2,3,0,2,2,0,1,0
Buerarema,101,519,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Plena Noite,Céu Claro,2,3,0,0,0,0,1,2
Buerarema,101,521,Colisão Frontal,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,2,1,0,0,0,1,0
Buerarema,101,522,Colisão Lateral,Desobediência À Sinalização,Reta,Simples,Pleno Dia,Sol,2,2,1,0,0,0,1,0
Buerarema,101,522,Colisão Traseira,Falta De Atenção À Condução,Reta,Simples,Pleno Dia,Céu Claro,2,2,0,1,1,0,1,0
Buerarema,101,522.6,Colisão Frontal,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,2,1,0,0,0,1,0
Buerarema,101,522.8,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Chuva,1,2,1,0,0,0,1,0
Buerarema,101,524,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,2,1,0,0,0,1,0
Buerarema,101,524,Colisão Com Bicicleta,Falta De Atenção,Reta,Simples,Pleno Dia,Sol,2,2,1,0,0,0,1,0
Buerarema,101,524.3,Colisão Frontal,Dormindo,Reta,Simples,Plena Noite,Nevoeiro/Neblina,2,2,1,0,0,0,1,0
Buerarema,101,525.7,Colisão Traseira,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,2,0,0,0,0,1,1
Buerarema,101,526,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Nublado,1,2,1,0,0,0,1,0
Buerarema,101,526,Atropelamento De Pessoa,Outras,Reta,Simples,Pleno Dia,Sol,1,2,0,0,0,0,1,1
Buerarema,101,526,Colisão Frontal,Falta De Atenção À Condução,Reta,Simples,Plena Noite,Nublado,2,6,4,1,0,1,1,0
Buerarema,101,526,Colisão Transversal,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,5,1,3,3,0,1,0
Buerarema,101,527.5,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,2,1,0,0,0,1,0
Buerarema,101,527.6,Queda De Motocicleta / Bicicleta / Veículo,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,2,0,1,1,0,1,0
Buerarema,101,528,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Nublado,1,2,1,0,0,0,1,0
Buerarema,101,528.7,Atropelamento De Pessoa,Dormindo,Curva,Simples,Pleno Dia,Ceu Claro,1,3,1,1,1,0,1,0
Buerarema,101,529,Atropelamento De Animal,Animais Na Pista,Reta,Simples,Plena Noite,Céu Claro,4,6,0,4,0,4,1,1
Buerarema,101,529.6,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,7,6,0,0,0,1,0
Buerarema,101,530.8,Colisão Frontal,Outras,Curva,Simples,Plena Noite,Ceu Claro,2,2,0,0,0,0,1,1
Buerarema,101,532.8,Capotamento,Outras,Curva,Simples,Pleno Dia,Ceu Claro,1,1,0,0,0,0,1,0
Buerarema,101,533,Saída De Pista,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,3,1,1,0,1,1,0
Buerarema,101,533.4,Colisão Lateral,Defeito Mecânico Em Veículo,Reta,Simples,Pleno Dia,Sol,6,6,3,2,2,0,1,0
Buerarema,101,534,Colisão Frontal,Falta De Atenção À Condução,Reta,Simples,Plena Noite,Céu Claro,2,3,1,1,0,1,1,0
Buique,232,2649,Colisão Lateral,Ingestão De Álcool,Reta,Simples,Plena Noite,Céu Claro,2,2,1,0,0,0,1,0
Bujari,364,153,Colisão Com Objeto Estático,Defeito Na Via,Reta,Simples,Plena Noite,Céu Claro,1,1,0,0,0,0,1,0
Bujari,364,154,Atropelamento De Pessoa,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,1,2,0,0,0,0,1,1
Bujari,364,154,Colisão Frontal,Outras,Reta,Simples,Anoitecer,Ignorada,2,2,0,1,1,0,1,0
Bujari,364,155,Colisão Traseira,Falta De Atenção,Reta,Duplicada,Plena Noite,Ceu Claro,2,2,1,0,0,0,1,0
Bujari,364,162,Colisão Com Bicicleta,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,3,2,0,0,0,1,0
Bujari,364,165.5,Colisão Frontal,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,2,1,0,0,0,1,0
Bujari,364,170,Saída De Pista,Defeito Na Via,Reta,Simples,Plena Noite,Ceu Claro,1,3,0,2,1,1,1,0
Bujari,364,175.5,Queda De Motocicleta / Bicicleta / Veículo,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,1,0,0,0,0,1,0
Bujari,364,180,Colisão Frontal,Defeito Na Via,Reta,Simples,Pleno Dia,Nublado,2,2,0,0,0,0,1,1
Bujari,364,182,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Chuva,2,3,2,0,0,0,1,0
Bujari,364,185,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Plena Noite,Ceu Claro,2,2,1,0,0,0,1,0
Bujari,364,190,Atropelamento De Pessoa,Outras,Reta,Duplicada,Plena Noite,Ceu Claro,1,4,3,0,0,0,1,0
Bujari,364,196,Atropelamento De Pessoa,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,1,3,2,0,0,0,1,0
Bujari,364,196,Capotamento,Velocidade Incompatível,Reta,Simples,Anoitecer,Ceu Claro,1,2,0,1,0,1,1,0
Bujari,364,199,Saída De Leito Carroçável,Defeito Mecânico No Veículo,Reta,Simples,Pleno Dia,Céu Claro,1,3,1,0,0,0,1,1
Bujari,364,210,Saída De Leito Carroçável,Defeito Na Via,Reta,Simples,Plena Noite,Céu Claro,2,3,0,1,1,0,1,1
Bujari,364,211,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Nublado,1,2,1,0,0,0,1,0
Bujari,364,1828,Saída De Leito Carroçável,Falta De Atenção À Condução,Reta,Simples,Pleno Dia,Céu Claro,1,2,0,1,0,1,1,0
Buriti Dos Lopes,343,4.9,Saída De Pista,Velocidade Incompatível,Reta,Duplicada,Pleno Dia,Sol,2,23,2,20,15,5,1,0
Buriti Dos Lopes,343,35.5,Colisão Frontal,Ingestão De Álcool,Reta,Simples,Pleno Dia,Nublado,2,4,2,1,0,1,1,0
Buriti Dos Lopes,343,40.9,Colisão Com Bicicleta,Velocidade Incompatível,Curva,Simples,Pleno Dia,Sol,2,2,0,1,0,1,1,0
Buriti Dos Lopes,343,42,Saída De Pista,Outras,Curva,Simples,Pleno Dia,Ceu Claro,1,2,0,1,1,0,1,0
Buriti Dos Lopes,343,42.4,Colisão Frontal,Velocidade Incompatível,Curva,Simples,Pleno Dia,Sol,2,7,1,5,0,5,1,0
Buriti Dos Lopes,343,46,Atropelamento De Pessoa,Outras,Reta,Simples,Anoitecer,Ignorada,1,2,0,0,0,0,1,1
Buriti Dos Lopes,343,46,Saída De Pista,Outras,Reta,Simples,Amanhecer,Ceu Claro,2,2,0,0,0,0,1,1
Buriti Dos Lopes,343,48.4,Queda De Motocicleta / Bicicleta / Veículo,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,1,1,0,0,0,0,1,0
Buriti Dos Lopes,343,48.5,Colisão Transversal,Falta De Atenção,Reta,Simples,Pleno Dia,Sol,1,1,0,0,0,0,1,0
Buriti Dos Lopes,343,49,Queda De Motocicleta / Bicicleta / Veículo,Ingestão De Álcool,Reta,Simples,Pleno Dia,Ceu Claro,1,1,0,0,0,0,1,0
Buriti Dos Lopes,343,51,Queda De Motocicleta / Bicicleta / Veículo,Outras,Reta,Simples,Pleno Dia,Ceu Claro,1,1,0,0,0,0,1,0
Buriti Dos Lopes,343,51,Saída De Pista,Ingestão De Álcool,Reta,Simples,Pleno Dia,Ceu Claro,1,1,0,0,0,0,1,0
Buriti Dos Lopes,343,51.3,Colisão Traseira,Velocidade Incompatível,Curva,Simples,Pleno Dia,Chuva,2,2,1,0,0,0,1,0
Buriti Dos Lopes,343,52.3,Colisão Com Bicicleta,Falta De Atenção,Reta,Simples,Anoitecer,Ceu Claro,2,2,1,0,0,0,1,0
Buriti Dos Lopes,343,53.5,Atropelamento De Animal,Animais Na Pista,Reta,Simples,Plena Noite,Ceu Claro,1,1,0,0,0,0,1,0
Buriti Dos Lopes,343,54.3,Colisão Transversal,Falta De Atenção,Reta,Simples,Pleno Dia,Ceu Claro,2,2,1,0,0,0,1,0
Buriti Dos Lopes,343,60,Colisão Transversal,Falta De Atenção,Reta,Simples,Pleno Dia,Ceu Claro,2,4,0,3,0,3,1,0
Buriti Dos Lopes,343,60.7,Saída De Pista,Dormindo,Reta,Simples,Plena Noite,Ceu Claro,1,1,0,0,0,0,1,0
Buriti Dos Lopes,343,61,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Nublado,1,2,1,0,0,0,1,0
Buriti Dos Lopes,343,64.4,Capotamento,Defeito Mecânico Em Veículo,Reta,Simples,Plena Noite,Ceu Claro,1,5,0,4,3,1,1,0
Buriti Dos Lopes,343,66.8,Capotamento,Dormindo,Reta,Simples,Pleno Dia,Sol,1,2,0,1,0,1,1,0
Buriti Dos Lopes,343,74.6,Saída De Pista,Animais Na Pista,Reta,Simples,Plena Noite,Ignorada,1,5,0,4,2,2,1,0
Buriti Dos Lopes,343,86,Colisão Traseira,Deficiência Ou Não Acionamento Do Sistema De Iluminação/Sinalização Do Veículo,Reta,Simples,Plena Noite,Nublado,2,2,1,0,0,0,1,0
Buriti Dos Lopes,343,377,Colisão Lateral,Deficiência Ou Não Acionamento Do Sistema De Iluminação/Sinalização Do Veículo,Reta,Simples,Plena Noite,Céu Claro,2,2,1,0,0,0,1,0
Buriti Dos Lopes,343,519,Colisão Lateral,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,3,4,1,1,0,1,1,1
Buriti Dos Lopes,343,723,Colisão Lateral,Velocidade Incompatível,Reta,Simples,Amanhecer,Ceu Claro,2,3,1,1,0,1,1,0
Buriti Dos Lopes,402,0.2,Atropelamento De Pessoa,Velocidade Incompatível,Reta,Simples,Pleno Dia,Sol,1,2,1,0,0,0,1,0
Buriti Dos Lopes,402,0.2,Colisão Com Bicicleta,Ingestão De Álcool,Reta,Simples,Plena Noite,Ceu Claro,2,2,1,0,0,0,1,0
Buriti Dos Lopes,402,3.5,Saída De Pista,Dormindo,Curva,Simples,Plena Noite,Ceu Claro,1,1,0,0,0,0,1,0
Buriti Dos Lopes,402,3.7,Saída De Pista,Falta De Atenção,Curva,Simples,Plena Noite,Ceu Claro,1,3,0,2,1,1,1,0
Buriti Dos Lopes,402,4,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,2,0,0,0,0,1,1
Buriti Dos Lopes,402,7,Saída De Pista,Velocidade Incompatível,Curva,Duplicada,Plena Noite,Ceu Claro,1,1,0,0,0,0,1,0
Buriti Dos Lopes,402,9,Atropelamento De Pessoa,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,1,2,0,0,0,0,1,1
Buriti Dos Lopes,402,88,Saída De Leito Carroçável,Condutor Dormindo,Reta,Simples,Pleno Dia,Céu Claro,1,1,0,0,0,0,1,0
Buriticupu,222,430,Colisão Traseira,Outras,Reta,Simples,Plena Noite,Ignorada,2,3,0,0,0,0,1,2
Buriticupu,222,490.2,Colisão Frontal,Outras,Reta,Simples,Amanhecer,Nublado,2,2,1,0,0,0,1,0
Buriticupu,222,503,Colisão Traseira,Falta De Atenção,Reta,Simples,Pleno Dia,Ignorada,2,3,0,1,0,1,1,1
Buriticupu,222,506,Colisão Lateral,Velocidade Incompatível,Reta,Simples,Pleno Dia,Céu Claro,2,2,1,0,0,0,1,0
Buriticupu,222,516,Colisão Frontal,Ingestão De Álcool,Reta,Simples,Plena Noite,Céu Claro,2,3,0,1,1,0,1,1
Buriticupu,222,516,Colisão Traseira,Falta De Atenção,Reta,Simples,Pleno Dia,Ceu Claro,2,2,1,0,0,0,1,0
Buriticupu,222,517,Queda De Motocicleta / Bicicleta / Veículo,Outras,Curva,Simples,Pleno Dia,Sol,1,2,0,1,1,0,1,0
Buriticupu,222,527,Saída De Leito Carroçável,Avarias E/Ou Desgaste Excessivo No Pneu,Reta,Simples,Pleno Dia,Chuva,2,2,0,1,1,0,1,0
Buriticupu,222,531,Capotamento,Falta De Atenção,Curva,Simples,Plena Noite,Ignorada,1,1,0,0,0,0,1,0
Buriticupu,222,531,Capotamento,Velocidade Incompatível,Curva,Simples,Plena Noite,Ignorada,1,1,0,0,0,0,1,0
Buriticupu,222,531,Colisão Frontal,Outras,Curva,Simples,Pleno Dia,Ceu Claro,2,3,0,2,1,1,1,0
Buriticupu,222,533,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Amanhecer,Ceu Claro,3,5,2,2,2,0,1,0
Buriticupu,222,536.4,Saída De Pista,Velocidade Incompatível,Curva,Simples,Plena Noite,Ignorada,1,1,0,0,0,0,1,0
Buriticupu,222,539.6,Saída De Pista,Velocidade Incompatível,Reta,Simples,Amanhecer,Ceu Claro,1,1,0,0,0,0,1,0
Buriticupu,222,541,Colisão Frontal,Defeito Mecânico Em Veículo,Curva,Simples,Pleno Dia,Ceu Claro,2,5,2,2,1,1,1,0
Buriticupu,222,543.7,Saída De Pista,Outras,Curva,Simples,Pleno Dia,Sol,1,2,0,1,0,1,1,0
Buriticupu,222,547,Saída De Pista,Falta De Atenção,Reta,Simples,Pleno Dia,Nublado,1,1,0,0,0,0,1,0
Buriticupu,222,548,Incêndio,Outras,Curva,Simples,Pleno Dia,Ceu Claro,1,1,0,0,0,0,1,0
Buriticupu,222,554,Colisão Frontal,Ultrapassagem Indevida,Curva,Simples,Pleno Dia,Ceu Claro,2,2,1,0,0,0,1,0
Buritizeiro,365,93,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Anoitecer,Ignorada,2,2,1,0,0,0,1,0
Buritizeiro,365,144.4,Colisão Com Bicicleta,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,3,0,2,0,2,1,0
Buritizeiro,365,166.2,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Nublado,2,3,1,1,1,0,1,0
Buritizeiro,365,166.5,Colisão Com Objeto Fixo,Falta De Atenção,Reta,Simples,Plena Noite,Chuva,1,1,0,0,0,0,1,0
Buritizeiro,365,166.8,Colisão Com Bicicleta,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,2,0,0,0,0,1,1
Buritizeiro,365,167.1,Colisão Frontal,Ultrapassagem Indevida,Curva,Simples,Anoitecer,Ceu Claro,2,5,0,4,0,4,1,0
Buritizeiro,365,167.8,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,3,1,1,1,0,1,0
Buritizeiro,365,167.9,Atropelamento De Animal,Animais Na Pista,Reta,Simples,Anoitecer,Nublado,1,2,0,1,1,0,1,0
Buritizeiro,365,168,Colisão Transversal,Desobediência À Sinalização,Cruzamento,Simples,Plena Noite,Ceu Claro,2,2,1,0,0,0,1,0
Buritizeiro,365,168.1,Colisão Frontal,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,2,1,0,0,0,1,0
Buritizeiro,365,168.1,Colisão Transversal,Falta De Atenção,Reta,Simples,Pleno Dia,Ceu Claro,2,2,1,0,0,0,1,0
Buritizeiro,365,169,Atropelamento De Pessoa,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,1,2,0,0,0,0,1,1
Buritizeiro,365,171,Colisão Com Bicicleta,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,2,0,0,0,0,1,1
Buritizeiro,365,171,Colisão Frontal,Velocidade Incompatível,Curva,Simples,Amanhecer,Nublado,3,7,1,5,0,5,1,0
Buritizeiro,365,171.5,Colisão Traseira,Velocidade Incompatível,Reta,Simples,Plena Noite,Ceu Claro,2,3,0,1,1,0,1,1
Buritizeiro,365,173,Colisão Frontal,Dormindo,Reta,Simples,Pleno Dia,Nublado,3,3,1,1,1,0,1,0
Buritizeiro,365,173.7,Saída De Pista,Outras,Curva,Simples,Pleno Dia,Sol,1,1,0,0,0,0,1,0
Buritizeiro,365,173.8,Atropelamento De Pessoa,Outras,Curva,Simples,Plena Noite,Chuva,1,2,0,0,0,0,1,1
Buritizeiro,365,178.8,Capotamento,Outras,Reta,Simples,Amanhecer,Ceu Claro,1,2,0,1,0,1,1,0
Buritizeiro,365,180.1,Colisão Com Objeto Fixo,Falta De Atenção,Reta,Simples,Amanhecer,Ceu Claro,2,6,1,4,2,2,1,0
Buritizeiro,365,180.1,Colisão Com Objeto Fixo,Outras,Reta,Simples,Pleno Dia,Ceu Claro,1,1,0,0,0,0,1,0
Buritizeiro,365,188,Incêndio,Defeito Mecânico No Veículo,Reta,Simples,Plena Noite,Céu Claro,4,5,2,2,2,0,1,0
Buritizeiro,365,188.9,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Ceu Claro,2,2,1,0,0,0,1,0
Buritizeiro,365,189.8,Capotamento,Dormindo,Reta,Simples,Plena Noite,Ceu Claro,1,4,0,3,1,2,1,0
Buritizeiro,365,192.2,Saída De Pista,Defeito Na Via,Reta,Simples,Pleno Dia,Ceu Claro,1,1,0,0,0,0,1,0
Buritizeiro,365,192.5,Colisão Traseira,Velocidade Incompatível,Reta,Simples,Plena Noite,Ceu Claro,2,39,36,2,0,2,1,0
Buritizeiro,365,194,Colisão Frontal,Velocidade Incompatível,Curva,Simples,Plena Noite,Ceu Claro,2,2,1,0,0,0,1,0
Buritizeiro,365,194.5,Saída De Pista,Outras,Curva,Simples,Plena Noite,Ceu Claro,1,1,0,0,0,0,1,0
Buritizeiro,365,208.3,Colisão Lateral,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,5,1,0,0,0,1,3
Buritizeiro,365,208.8,Colisão Lateral,Defeito Na Via,Reta,Simples,Plena Noite,Nublado,2,3,0,2,0,2,1,0
Buritizeiro,365,209.5,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,2,1,0,0,0,1,0
Buritizeiro,365,210.9,Saída De Pista,Outras,Curva,Simples,Pleno Dia,Chuva,1,4,0,3,0,3,1,0
Buritizeiro,365,211.4,Saída De Pista,Outras,Curva,Simples,Plena Noite,Chuva,1,1,0,0,0,0,1,0
Buritizeiro,365,213.8,Colisão Frontal,Dormindo,Curva,Simples,Pleno Dia,Sol,2,2,0,1,1,0,1,0
Buritizeiro,365,216.4,Colisão Transversal,Outras,Reta,Simples,Plena Noite,Ceu Claro,3,3,0,2,1,1,1,0
Buritizeiro,365,223.7,Saída De Pista,Defeito Na Via,Reta,Simples,Amanhecer,Ceu Claro,1,5,0,4,3,1,1,0
Buritizeiro,365,224.7,Saída De Pista,Dormindo,Reta,Simples,Pleno Dia,Ceu Claro,1,3,0,2,0,2,1,0
Buritizeiro,365,228.1,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,2,0,0,0,0,1,1
Buritizeiro,365,228.7,Colisão Frontal,Outras,Curva,Simples,Anoitecer,Chuva,2,2,1,0,0,0,1,0
Buritizeiro,365,231.5,Colisão Frontal,Dormindo,Reta,Simples,Amanhecer,Ceu Claro,2,6,1,4,1,3,1,0
Buritizeiro,365,232.1,Colisão Lateral,Outras,Reta,Simples,Plena Noite,Chuva,2,3,2,0,0,0,1,0
Buritizeiro,365,235.5,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Ceu Claro,2,7,0,6,6,0,1,0
Buritizeiro,365,236.2,Tombamento,Outras,Curva,Simples,Pleno Dia,Sol,1,4,0,3,0,3,1,0
Buritizeiro,365,236.4,Saída De Pista,Dormindo,Curva,Simples,Pleno Dia,Chuva,1,2,0,1,0,1,1,0
Buritizeiro,365,240.4,Saída De Pista,Dormindo,Reta,Simples,Pleno Dia,Sol,1,2,0,1,1,0,1,0
Buritizeiro,365,243.4,Capotamento,Outras,Curva,Simples,Pleno Dia,Nublado,1,3,0,2,1,1,1,0
Buritizeiro,365,246.6,Colisão Frontal,Falta De Atenção,Reta,Simples,Pleno Dia,Ceu Claro,2,2,1,0,0,0,1,0
Buritizeiro,365,253.9,Saída De Pista,Outras,Curva,Simples,Pleno Dia,Ceu Claro,1,5,0,2,2,0,1,2
Buritizeiro,365,256,Colisão Frontal,Falta De Atenção,Curva,Simples,Plena Noite,Ignorada,2,2,1,0,0,0,1,0
Buritizeiro,365,256.2,Capotamento,Outras,Curva,Simples,Plena Noite,Ceu Claro,1,3,0,2,1,1,1,0
Buritizeiro,365,260,Saída De Pista,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Sol,1,5,1,3,1,2,1,0
Buritizeiro,365,266,Saída De Pista,Falta De Atenção,Curva,Simples,Pleno Dia,Ceu Claro,1,3,0,2,2,0,1,0
Buritizeiro,365,266,Saída De Pista,Outras,Curva,Simples,Plena Noite,Ceu Claro,1,1,0,0,0,0,1,0
Buritizeiro,365,266,Saída De Pista,Velocidade Incompatível,Curva,Simples,Plena Noite,Chuva,1,5,0,4,2,2,1,0
Buritizeiro,365,1854,Colisão Transversal,Velocidade Incompatível,Curva,Simples,Pleno Dia,Chuva,2,4,0,3,0,3,1,0
Buritizeiro,365,1901,Saída De Pista,Defeito Na Via,Reta,Simples,Plena Noite,Ceu Claro,1,1,0,0,0,0,1,0
Buritizeiro,365,2406,Colisão Frontal,Dormindo,Reta,Simples,Plena Noite,Ceu Claro,2,4,0,3,0,3,1,0
Butia,290,160.9,Atropelamento De Pessoa,Outras,Curva,Simples,Plena Noite,Ceu Claro,1,2,1,0,0,0,1,0
Butia,290,162.8,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Plena Noite,Nublado,3,5,2,2,2,0,1,0
Butia,290,163.2,Saída De Pista,Outras,Reta,Simples,Pleno Dia,Nublado,1,1,0,0,0,0,1,0
Butia,290,168.7,Queda De Motocicleta / Bicicleta / Veículo,Outras,Reta,Simples,Pleno Dia,Chuva,1,1,0,0,0,0,1,0
Butia,290,172.5,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Plena Noite,Nublado,2,2,1,0,0,0,1,0
Butia,290,172.9,Atropelamento De Pessoa,Velocidade Incompatível,Reta,Simples,Plena Noite,Nublado,1,5,2,2,2,0,1,0
Butia,290,172.9,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Nublado,4,7,1,5,5,0,1,0
Butia,290,173.6,Colisão Lateral,Outras,Reta,Simples,Pleno Dia,Ceu Claro,2,2,1,0,0,0,1,0
Butia,290,174.3,Colisão Frontal,Velocidade Incompatível,Cruzamento,Simples,Pleno Dia,Nublado,2,3,1,1,1,0,1,0
Butia,290,174.7,Queda De Motocicleta / Bicicleta / Veículo,Velocidade Incompatível,Reta,Simples,Plena Noite,Ceu Claro,1,1,0,0,0,0,1,0
Butia,290,174.8,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Sol,2,2,1,0,0,0,1,0
Butia,290,174.8,Saída De Pista,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,1,0,0,0,0,1,0
Butia,290,175.6,Colisão Com Bicicleta,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,2,1,0,0,0,1,0
Butia,290,175.9,Atropelamento De Pessoa,Outras,Reta,Simples,Pleno Dia,Sol,1,2,1,0,0,0,1,0
Butia,290,176,Atropelamento De Pessoa,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,1,2,1,0,0,0,1,0
Butia,290,176,Colisão Frontal,Falta De Atenção,Reta,Simples,Plena Noite,Chuva,2,3,2,0,0,0,1,0
Butia,290,176.3,Atropelamento De Pessoa,Falta De Atenção,Reta,Simples,Pleno Dia,Sol,1,2,1,0,0,0,1,0
Butia,290,177.7,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Sol,2,2,0,1,1,0,1,0
Butia,290,177.8,Atropelamento De Pessoa,Outras,Reta,Simples,Plena Noite,Nublado,1,2,1,0,0,0,1,0
Butia,290,178.5,Colisão Transversal,Outras,Reta,Simples,Anoitecer,Ceu Claro,2,2,1,0,0,0,1,0
Butia,290,178.7,Atropelamento De Animal,Animais Na Pista,Reta,Simples,Amanhecer,Ceu Claro,1,4,1,2,0,2,1,0
